start -> translation: (0.96, 0.492, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.83890752, y: 0.0
x: 1.10790504, y: 0.0
x: 1.92898992, y: 0.0
x: 2.89576452, y: 0.0
x: 3.5112892226858383, y: -0.04019505056346452
x: 3.5305303030992237, y: -0.04551209076334605
x: 3.2734515062719023, y: -0.008883060785016505
x: 2.6132369174586967, y: 0.29587546482830057
x: 2.376787889892292, y: 0.9614058269456737
x: 2.7057431676985053, y: 1.6251694760389
x: 3.319141194895889, y: 2.095056813153668
x: 3.7362730782398823, y: 2.208679258854985
x: 3.797583293607511, y: 2.5475721433200715
x: 4.014551621175112, y: 3.3322502409540333
x: 4.59916319562448, y: 3.6881581690918948
x: 5.259274755040492, y: 3.531514177092788
x: 5.508092991285428, y: 3.3298305312479357
x: 6.315831451444815, y: 3.2822301451205376
x: 6.832034892978524, y: 2.8495192963433067
x: 6.793733339405771, y: 2.189874407455838
x: 6.58503169134315, y: 2.095157193805053
x: 6.601151652248181, y: 2.733598308340726
x: 6.83392521668636, y: 3.067491027362458
x: 6.67841012615396, y: 3.632865053896006
x: 6.837181437573006, y: 4.255424771072781
x: 7.374133061247999, y: 4.21475216488299
x: 8.026338728220596, y: 3.988040822050636
x: 8.28608305465969, y: 3.287633528973072
x: 8.151044277559523, y: 2.57632662418589
x: 8.10517417787913, y: 2.1649557133307855
x: 8.158163747541494, y: 1.407274605254811
x: 8.08337209938287, y: 0.5454846814452322
x: 8.045693245004186, y: 0.16769530228917803
x: 8.444561799672083, y: 0.041561354355611584
x: 8.815473746321794, y: 0.00866778426655378
x: 9.207139716895009, y: 0.043418171366967025
x: 9.299678537261842, y: 0.8758772985865131
x: 9.334780496649113, y: 1.2078905103025568
x: 9.359489355702147, y: 1.4415981111683989
x: 9.383345128397796, y: 1.667164814395019
x: 9.108364369149262, y: 2.3839687704712333
x: 9.056714024780009, y: 3.0252984284766535
x: 9.184320022180778, y: 3.107221466186955
x: 9.184358601733361, y: 3.1072198705747507
x: 8.391490409766298, y: 3.2114988561937845
x: 8.185800040564619, y: 3.649910032100579
x: 8.191130641752672, y: 4.61677345947228
x: 8.196528042218075, y: 5.595552998049914
x: 8.200383634229642, y: 6.288659444287554
x: 8.036173239546283, y: 6.1854323430184435
x: 7.946951900590053, y: 5.8865003996272955
x: 7.9067964005896325, y: 5.311462747272144
x: 7.817481058619904, y: 4.492407058934455
x: 7.233958602486006, y: 4.171546270235462
x: 6.532032540670243, y: 4.251581022108155
x: 5.899595309677562, y: 4.490264951140236
x: 5.427289133171946, y: 4.292724931405469
