start -> translation: (1.8, 6.3, 0.05)| rotation: (0.0, 0.0, 1.0, -1.57)
x: 0.0, y: 0.0
x: 0.36696434865486616, y: 0.17304937920741753
x: 0.45198314106400106, y: 0.7063811899556088
x: 0.6846189116094872, y: 1.248623915152444
x: 1.3564301472304867, y: 1.3125484816653588
x: 1.969167202130591, y: 1.1974726538640161
x: 2.562344079082287, y: 1.098297522487289
x: 3.06231849723361, y: 0.6858366264463778
x: 2.888118316040082, y: 0.0321944766758689
x: 2.2755477583811285, y: -0.3094986613139697
x: 1.7255401226725353, y: -0.14267459396370238
x: 1.8833565990333128, y: 0.032788088787609956
x: 2.079589737763106, y: -0.5565096241598662
x: 1.778810779451492, y: -1.1154469672386635
x: 1.7208596617922487, y: -1.2693102937350138
x: 2.1164957501381454, y: -1.3853950008879354
x: 2.3256219999539116, y: -1.4349151454085527
x: 3.1737090619758255, y: -1.2324892815718083
x: 3.9181225061151372, y: -1.1887996364567204
x: 4.097829816657648, y: -1.2216203589869334
x: 4.174981187086342, y: -0.857053215002777
x: 4.222454819428965, y: -0.6290044267554229
x: 4.053024319971316, y: 0.04955804880646638
x: 3.9583250778785253, y: 0.18296352373258354
x: 3.182650039854464, y: 0.2322659280628433
x: 2.984833374511501, y: 0.6946745614769156
x: 3.1444662324289347, y: 1.38531018452101
x: 3.7521575589447345, y: 1.7617477833964181
x: 4.408666433813842, y: 1.5720340662924077
x: 4.56379466559544, y: 1.3987467294038738
x: 5.237264851342766, y: 1.3624050030761023
x: 5.662811437523884, y: 0.8187249324193039
x: 5.602717283113849, y: 0.2412537878857695
x: 5.487295298194524, y: -0.4098009490687782
x: 5.419003382925447, y: -0.5986146057028433
x: 5.624445920472871, y: -1.034106233845113
x: 5.922703959070068, y: -1.1071323294453899
x: 5.9560569135995065, y: -0.4798391377298139
x: 5.980808059119892, y: 0.2728641591870713
x: 5.681005943588028, y: 0.9228177294753172
x: 5.615508750573139, y: 1.6504964651030707
x: 5.848797467028694, y: 2.0696361446031597
x: 5.946593926378317, y: 2.734509417653285
x: 5.943234073518049, y: 2.883485390624574
x: 5.832614628981688, y: 2.6222958335821343
x: 5.434479589110103, y: 1.941246626337111
x: 4.76185293306397, y: 1.7527850799794746
x: 4.14568193122605, y: 2.135414918649189
x: 3.7839704565925714, y: 2.76477894475034
x: 3.717196267774238, y: 3.193198575465458
x: 3.5060108916368167, y: 3.25160269175011
x: 2.6180077170812495, y: 3.4980428617283805
x: 2.222605777188195, y: 4.079204860127134
x: 2.404963095272796, y: 4.775811132494368
x: 2.6623461962716832, y: 5.011386461845294
x: 2.817853900939703, y: 5.833691141775329
x: 3.3273282156996404, y: 6.339765263559573
x: 4.000651471517827, y: 6.336891697763066
x: 4.015697401023804, y: 6.026247262729307
x: 3.428853644094586, y: 6.200388548551468
x: 3.209884214979349, y: 6.401463982402975
x: 2.573254362216653, y: 6.121678581066346
x: 1.931232312627888, y: 6.2993571731655225
x: 1.84412584007439, y: 6.841201522202519
x: 2.0982887479563916, y: 7.567743105017873
x: 2.7896486468621218, y: 7.713320767107919
x: 3.496739677419096, y: 7.635230297683549
x: 3.805010749446232, y: 7.516011188113216
x: 4.755880492449802, y: 7.475141337008739
x: 5.733776802451298, y: 7.43322023925304
x: 5.979222450584807, y: 7.4367301977125155
x: 6.125145570788741, y: 8.006750718228426
x: 6.1864275966142905, y: 8.246058818712223
x: 6.146214007186521, y: 8.556046171410408
x: 5.827166373401512, y: 8.671687483377822
x: 5.456969657830384, y: 8.735909705415855
x: 5.211635586564586, y: 8.778472826802366
x: 4.6411413828439585, y: 8.63628159742106
x: 3.9279859219892423, y: 8.530727742561119
x: 3.3229986711630515, y: 8.681867734423616
x: 3.131405593595081, y: 8.693424656846139
x: 2.925370372904263, y: 7.976609994193163
x: 2.8040967169822015, y: 7.642613578720754
x: 3.1650819714674965, y: 7.537784555121866
x: 3.4135905338103245, y: 7.480574630677675
x: 3.899069748202868, y: 7.455706690045853
x: 4.8380676686417265, y: 7.45919995157761
x: 5.792815732229512, y: 7.462748126060228
x: 5.9912604034898544, y: 7.489813927317383
x: 6.14890444478845, y: 8.143802441148638
x: 6.20317609356855, y: 8.376505227343602
x: 6.192360266385917, y: 8.578679600873027
x: 5.3862407630670806, y: 8.690048313990735
x: 4.748549079282978, y: 8.767187084345238
x: 4.517296437341101, y: 8.795154948279993
x: 4.288924654954744, y: 8.822778495086835
x: 4.052734194169788, y: 8.8513432071443
x: 3.811503407384291, y: 8.880520209677394
x: 3.1734042804289544, y: 8.661314243462328
x: 3.057856766180497, y: 8.513796126727758
x: 2.8845157700198962, y: 7.782361056315023
x: 2.273365432620174, y: 7.680132698603772
x: 1.5493906175462466, y: 7.7829252763407135
x: 1.1566714140416978, y: 7.8997015327431885
x: 0.6686163389167235, y: 7.946326777249506
x: -0.14818338881355042, y: 7.970156849483742
x: -0.13857930792983247, y: 7.84138502691694
x: 0.19691917804957207, y: 7.665295506377927
x: 1.068920861056398, y: 7.55535621525265
x: 1.738426753768719, y: 7.354358991647845
x: 1.9121311153834661, y: 6.835219533416143
x: 1.721447103850836, y: 6.110463476072512
x: 1.4302729916679702, y: 5.550656570234605
x: 1.583487928407081, y: 5.0847340951904005
x: 1.7575162051603885, y: 4.363408562422738
x: 1.3548522321138539, y: 3.7619639070695006
x: 0.6638798703205516, y: 3.6237349560345624
x: 0.14214425091227295, y: 3.9504001680833
x: -0.1981420156188235, y: 4.057235389371436
x: -0.3926185112383451, y: 4.054229379388795
x: -0.4534965905926209, y: 3.836707534594832
x: 0.2007564268349191, y: 3.572104454220365
x: 0.4744785639296275, y: 3.455091647298786
x: 1.4531309403121593, y: 3.4384166317180016
x: 2.222166631140912, y: 3.3911166731162523
x: 2.867438942532699, y: 3.1096398174317836
x: 3.3479556823058196, y: 2.603937138892892
x: 3.329194658257483, y: 1.989787828291008
x: 2.813200416218376, y: 1.5023908474237317
x: 2.437421210404698, y: 1.682513202562576
x: 2.1706847291908757, y: 1.761447208537763
x: 1.8467552040299005, y: 1.8235156750866361
x: 1.609124297482147, y: 1.869042010505395
x: 0.9954010393316921, y: 1.7162245211517595
x: 0.27621078107848973, y: 1.6386808923051963
x: -0.3183574908018357, y: 1.8229325776339669
x: -0.7299294977327432, y: 1.8475604862099555
x: -0.8279129126801843, y: 1.6476551683700884
x: -0.8866629875530336, y: 1.412089146844507
